battle_id,hero_name,hero_series,hero_type,hero_powers,hero_total_power,hero_combat,hero_speed,hero_durability,hero_intelligence,hero_heat,hero_water,hero_electricity,hero_magic,hero_stealth,villain_name,villain_species,villain_affiliation,villain_powers,villain_total_power,villain_combat,villain_speed,villain_durability,villain_intelligence,villain_heat,villain_water,villain_electricity,villain_magic,villain_stealth,terrain,battle_type,hero_terrain_bonus,villain_terrain_bonus,hero_win_probability,battle_outcome,difficulty_rating
11,Diamondhead,Original Series,Classic,"Crystallokinesis, Crystal Constructs, Durability",51.9,80,48,100,42,20,8,10,1,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Siege,0.965,0.964,0.4243,Loss,Hard
12,Diamondhead,Original Series,Classic,"Crystallokinesis, Crystal Constructs, Durability",51.9,80,48,100,42,20,8,10,1,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,1v1,1.001,1.008,0.4838,Loss,Hard
13,XLR8,Original Series,Classic,"Super Speed, Enhanced Reflexes",49.0,70,100,40,57,10,10,8,0,11,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Siege,1.071,1.04,0.455,Loss,Hard
14,XLR8,Original Series,Classic,"Super Speed, Enhanced Reflexes",49.0,70,100,40,57,10,10,8,0,11,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,1v1,0.936,0.964,0.4285,Draw,Hard
15,XLR8,Original Series,Classic,"Super Speed, Enhanced Reflexes",49.0,70,100,40,57,10,10,8,0,11,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,Siege,1.032,1.039,0.3772,Loss,Hard
16,XLR8,Original Series,Classic,"Super Speed, Enhanced Reflexes",49.0,70,100,40,57,10,10,8,0,11,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,Siege,0.987,0.988,0.399,Win,Hard
17,Grey Matter,Original Series,Classic,"Enhanced Intelligence, Small Size",31.45,10,40,10,100,13,13,13,5,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,Ambush,0.975,1.039,0.3881,Loss,Hard
18,Grey Matter,Original Series,Classic,"Enhanced Intelligence, Small Size",31.45,10,40,10,100,13,13,13,5,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Chase,0.956,0.964,0.3056,Loss,Hard
19,Grey Matter,Original Series,Classic,"Enhanced Intelligence, Small Size",31.45,10,40,10,100,13,13,13,5,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,Ambush,1.06,1.02,0.3969,Win,Hard
20,Grey Matter,Original Series,Classic,"Enhanced Intelligence, Small Size",31.45,10,40,10,100,13,13,13,5,80,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Ambush,0.956,0.96,0.4029,Loss,Hard
21,Four Arms,Original Series,Classic,"Enhanced Strength, Durability, Sonic Clap",55.55,100,50,95,40,12,13,6,4,17,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Chase,0.971,0.964,0.3927,Draw,Hard
22,Four Arms,Original Series,Classic,"Enhanced Strength, Durability, Sonic Clap",55.55,100,50,95,40,12,13,6,4,17,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,1v1,1.05,1.04,0.4536,Loss,Hard
23,Four Arms,Original Series,Classic,"Enhanced Strength, Durability, Sonic Clap",55.55,100,50,95,40,12,13,6,4,17,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Siege,0.97,0.96,0.4278,Win,Hard
24,Four Arms,Original Series,Classic,"Enhanced Strength, Durability, Sonic Clap",55.55,100,50,95,40,12,13,6,4,17,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,1v1,0.992,0.996,0.4334,Loss,Hard
25,Stinkfly,Original Series,Classic,"Flight, Slime Projection, Sharp Tail",39.6,50,80,40,44,10,8,6,0,26,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,1v1,0.98,0.996,0.4071,Loss,Hard
26,Stinkfly,Original Series,Classic,"Flight, Slime Projection, Sharp Tail",39.6,50,80,40,44,10,8,6,0,26,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,Ambush,1.022,1.039,0.4329,Win,Hard
27,Stinkfly,Original Series,Classic,"Flight, Slime Projection, Sharp Tail",39.6,50,80,40,44,10,8,6,0,26,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,1v1,0.936,0.964,0.3432,Win,Hard
28,Stinkfly,Original Series,Classic,"Flight, Slime Projection, Sharp Tail",39.6,50,80,40,44,10,8,6,0,26,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Siege,0.935,0.96,0.3085,Loss,Hard
29,Ripjaws,Original Series,Classic,"Underwater Breathing, Steel-Bending Jaws",58.0,85,90,60,46,0,100,15,5,22,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,1v1,0.983,0.996,0.5178,Win,Medium
30,Ripjaws,Original Series,Classic,"Underwater Breathing, Steel-Bending Jaws",58.0,85,90,60,46,0,100,15,5,22,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Ambush,0.977,0.964,0.5835,Win,Medium
31,Ripjaws,Original Series,Classic,"Underwater Breathing, Steel-Bending Jaws",58.0,85,90,60,46,0,100,15,5,22,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,Ambush,0.972,1.008,0.5399,Win,Medium
32,Ripjaws,Original Series,Classic,"Underwater Breathing, Steel-Bending Jaws",58.0,85,90,60,46,0,100,15,5,22,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Ambush,0.971,0.96,0.6402,Loss,Medium
33,Upgrade,Original Series,Classic,"Technopathy, Optic Blast, Liquid Metal",50.15,60,41,80,95,12,10,7,5,16,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,1v1,0.976,0.988,0.4422,Win,Hard
34,Upgrade,Original Series,Classic,"Technopathy, Optic Blast, Liquid Metal",50.15,60,41,80,95,12,10,7,5,16,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Ambush,1.045,1.04,0.5364,Win,Medium
35,Upgrade,Original Series,Classic,"Technopathy, Optic Blast, Liquid Metal",50.15,60,41,80,95,12,10,7,5,16,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,1v1,0.994,0.996,0.4561,Loss,Hard
36,Upgrade,Original Series,Classic,"Technopathy, Optic Blast, Liquid Metal",50.15,60,41,80,95,12,10,7,5,16,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Ambush,0.971,0.96,0.6096,Win,Medium
37,Ghostfreak,Original Series,Classic,"Invisibility, Intangibility, Possession",40.95,50,30,30,46,15,9,7,60,100,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,Chase,1.029,1.02,0.4241,Win,Hard
38,Ghostfreak,Original Series,Classic,"Invisibility, Intangibility, Possession",40.95,50,30,30,46,15,9,7,60,100,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,Chase,0.991,0.988,0.4658,Win,Hard
39,Ghostfreak,Original Series,Classic,"Invisibility, Intangibility, Possession",40.95,50,30,30,46,15,9,7,60,100,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,1v1,1.04,0.996,0.3531,Win,Hard
40,Ghostfreak,Original Series,Classic,"Invisibility, Intangibility, Possession",40.95,50,30,30,46,15,9,7,60,100,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Siege,0.971,0.96,0.2495,Loss,Extreme
41,Cannonbolt,Original Series,Classic,"Sphere Transformation, Indestructible Shell",59.2,90,85,100,42,11,14,14,2,10,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Chase,0.954,0.964,0.5252,Win,Medium
42,Cannonbolt,Original Series,Classic,"Sphere Transformation, Indestructible Shell",59.2,90,85,100,42,11,14,14,2,10,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,1v1,1.036,1.039,0.5054,Win,Medium
43,Cannonbolt,Original Series,Classic,"Sphere Transformation, Indestructible Shell",59.2,90,85,100,42,11,14,14,2,10,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,1v1,0.955,0.96,0.6296,Loss,Medium
44,Cannonbolt,Original Series,Classic,"Sphere Transformation, Indestructible Shell",59.2,90,85,100,42,11,14,14,2,10,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,Ambush,0.972,0.988,0.6053,Win,Medium
45,Wildvine,Original Series,Classic,"Plant Manipulation, Elasticity, Regeneration",44.4,70,31,60,55,14,11,11,2,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Ambush,1.028,1.04,0.403,Win,Hard
46,Wildvine,Original Series,Classic,"Plant Manipulation, Elasticity, Regeneration",44.4,70,31,60,55,14,11,11,2,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Chase,0.974,0.96,0.5234,Win,Medium
47,Wildvine,Original Series,Classic,"Plant Manipulation, Elasticity, Regeneration",44.4,70,31,60,55,14,11,11,2,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,Chase,1.02,1.039,0.4543,Loss,Hard
48,Wildvine,Original Series,Classic,"Plant Manipulation, Elasticity, Regeneration",44.4,70,31,60,55,14,11,11,2,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,1v1,0.994,1.008,0.4396,Loss,Hard
49,Buzzshock,Original Series,Classic,"Electrokinesis, Duplication, Flight",48.05,47,90,47,60,13,5,100,2,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,1v1,1.022,1.039,0.4463,Win,Hard
50,Buzzshock,Original Series,Classic,"Electrokinesis, Duplication, Flight",48.05,47,90,47,60,13,5,100,2,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,Ambush,0.976,0.996,0.501,Win,Medium
51,Buzzshock,Original Series,Classic,"Electrokinesis, Duplication, Flight",48.05,47,90,47,60,13,5,100,2,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Ambush,0.938,0.96,0.494,Win,Hard
52,Buzzshock,Original Series,Classic,"Electrokinesis, Duplication, Flight",48.05,47,90,47,60,13,5,100,2,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Siege,0.919,0.964,0.3695,Loss,Hard
53,Arctiguana,Original Series,Classic,"Ice Breath, Freezing, Cold Resistance",39.4,44,30,70,57,0,60,9,0,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,Ambush,0.935,0.988,0.4307,Win,Hard
54,Arctiguana,Original Series,Classic,"Ice Breath, Freezing, Cold Resistance",39.4,44,30,70,57,0,60,9,0,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,1v1,0.998,0.964,0.3651,Win,Hard
55,Arctiguana,Original Series,Classic,"Ice Breath, Freezing, Cold Resistance",39.4,44,30,70,57,0,60,9,0,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,1v1,1.025,1.02,0.4126,Win,Hard
56,Arctiguana,Original Series,Classic,"Ice Breath, Freezing, Cold Resistance",39.4,44,30,70,57,0,60,9,0,28,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,1v1,1.042,1.04,0.3996,Loss,Hard
57,Blitzwolfer,Original Series,Classic,"Sonic Howl, Sharp Claws, Enhanced Senses",49.55,80,70,39,57,7,12,6,4,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,1v1,1.023,1.02,0.4178,Loss,Hard
58,Blitzwolfer,Original Series,Classic,"Sonic Howl, Sharp Claws, Enhanced Senses",49.55,80,70,39,57,7,12,6,4,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Ambush,1.042,1.04,0.4739,Win,Hard
59,Blitzwolfer,Original Series,Classic,"Sonic Howl, Sharp Claws, Enhanced Senses",49.55,80,70,39,57,7,12,6,4,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,Ambush,0.998,0.996,0.5104,Loss,Medium
60,Blitzwolfer,Original Series,Classic,"Sonic Howl, Sharp Claws, Enhanced Senses",49.55,80,70,39,57,7,12,6,4,60,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,Siege,1.025,1.039,0.444,Loss,Hard
61,Snare-oh,Original Series,Classic,"Bandage Manipulation, Regeneration",51.0,48,46,80,56,7,5,12,70,70,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,Siege,0.994,1.008,0.4315,Win,Hard
62,Snare-oh,Original Series,Classic,"Bandage Manipulation, Regeneration",51.0,48,46,80,56,7,5,12,70,70,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,Ambush,1.044,1.039,0.5357,Loss,Medium
63,Snare-oh,Original Series,Classic,"Bandage Manipulation, Regeneration",51.0,48,46,80,56,7,5,12,70,70,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,Chase,0.977,0.988,0.4532,Loss,Hard
64,Snare-oh,Original Series,Classic,"Bandage Manipulation, Regeneration",51.0,48,46,80,56,7,5,12,70,70,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Ambush,1.037,1.04,0.5168,Loss,Medium
65,Frankenstrike,Original Series,Classic,"Electrokinesis, Enhanced Strength",60.65,95,30,90,80,13,15,90,4,12,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,Siege,1.021,1.02,0.3813,Draw,Hard
66,Frankenstrike,Original Series,Classic,"Electrokinesis, Enhanced Strength",60.65,95,30,90,80,13,15,90,4,12,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Siege,1.035,1.04,0.5114,Win,Medium
67,Frankenstrike,Original Series,Classic,"Electrokinesis, Enhanced Strength",60.65,95,30,90,80,13,15,90,4,12,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,1v1,0.97,0.964,0.4629,Loss,Hard
68,Frankenstrike,Original Series,Classic,"Electrokinesis, Enhanced Strength",60.65,95,30,90,80,13,15,90,4,12,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,Ambush,0.999,1.008,0.606,Loss,Medium
69,Upchuck,Original Series,Classic,"Matter Ingestion, Explosive Vomit",43.7,60,39,80,53,14,5,10,4,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,1v1,1.021,1.02,0.4506,Loss,Hard
70,Upchuck,Original Series,Classic,"Matter Ingestion, Explosive Vomit",43.7,60,39,80,53,14,5,10,4,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Ambush,0.966,0.96,0.5699,Win,Medium
71,Upchuck,Original Series,Classic,"Matter Ingestion, Explosive Vomit",43.7,60,39,80,53,14,5,10,4,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,1v1,0.966,0.964,0.4037,Loss,Hard
72,Upchuck,Original Series,Classic,"Matter Ingestion, Explosive Vomit",43.7,60,39,80,53,14,5,10,4,21,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Chase,1.049,1.04,0.4458,Win,Hard
73,Eye Guy,Original Series,Classic,"360 Vision, Energy Beams",45.1,70,31,37,38,70,70,70,3,18,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Chase,1.029,1.04,0.4034,Loss,Hard
74,Eye Guy,Original Series,Classic,"360 Vision, Energy Beams",45.1,70,31,37,38,70,70,70,3,18,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Underwater,Chase,0.956,0.964,0.5121,Loss,Medium
75,Eye Guy,Original Series,Classic,"360 Vision, Energy Beams",45.1,70,31,37,38,70,70,70,3,18,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Desert,Siege,0.998,1.008,0.3872,Loss,Hard
76,Eye Guy,Original Series,Classic,"360 Vision, Energy Beams",45.1,70,31,37,38,70,70,70,3,18,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Siege,0.956,0.96,0.3629,Win,Hard
77,Way Big,Original Series,Classic,"Gigantism, Cosmic Rays, Super Strength",61.45,100,60,100,40,80,13,8,2,24,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,1v1,0.996,0.988,0.4584,Win,Hard
78,Way Big,Original Series,Classic,"Gigantism, Cosmic Rays, Super Strength",61.45,100,60,100,40,80,13,8,2,24,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,1v1,1.036,1.039,0.5296,Win,Medium
79,Way Big,Original Series,Classic,"Gigantism, Cosmic Rays, Super Strength",61.45,100,60,100,40,80,13,8,2,24,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,Ambush,1.012,1.02,0.5587,Loss,Medium
80,Way Big,Original Series,Classic,"Gigantism, Cosmic Rays, Super Strength",61.45,100,60,100,40,80,13,8,2,24,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Siege,1.05,1.04,0.4597,Loss,Hard
81,Swampfire,Alien Force,Alien Force,"Pyrokinesis, Chlorokinesis, Regeneration",52.7,80,31,90,47,95,30,10,1,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Forest,Siege,0.995,0.996,0.3807,Win,Hard
82,Swampfire,Alien Force,Alien Force,"Pyrokinesis, Chlorokinesis, Regeneration",52.7,80,31,90,47,95,30,10,1,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Null Void,Chase,1.035,1.039,0.5006,Loss,Medium
83,Swampfire,Alien Force,Alien Force,"Pyrokinesis, Chlorokinesis, Regeneration",52.7,80,31,90,47,95,30,10,1,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,City,Siege,1.015,1.02,0.3439,Win,Hard
84,Swampfire,Alien Force,Alien Force,"Pyrokinesis, Chlorokinesis, Regeneration",52.7,80,31,90,47,95,30,10,1,13,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,Ambush,1.041,1.04,0.5753,Win,Medium
85,Echo Echo,Alien Force,Alien Force,"Sonic Screams, Duplication",36.45,70,50,30,30,14,10,9,1,14,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Volcanic,Ambush,0.988,0.988,0.3702,Loss,Hard
86,Echo Echo,Alien Force,Alien Force,"Sonic Screams, Duplication",36.45,70,50,30,30,14,10,9,1,14,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Space,1v1,1.05,1.04,0.3656,Win,Hard
87,Echo Echo,Alien Force,Alien Force,"Sonic Screams, Duplication",36.45,70,50,30,30,14,10,9,1,14,Vilgax,Chimera Sui Generis,Solo,"Super Strength, Laser Eyes, Sword Mastery",62.5,95,40,95,80,60,20,15,10,15,Arctic,Siege,0.952,0.96,0.4033,Win,Hard
